level_in_m,rain,flow_m2ssqkm,elevation,flood_label
8.12,0,133.34,10,0
5.44,1,68.5,10,0
7.32,3.8,112.24,10,0
6.22,0,85.62,10,0
6.93,2.3,102.49,10,0
7.24,1.2,110.29,10,0
7.81,0.2,124.9,10,0
6.53,0,92.74,10,0
5.37,0,66.89,10,0
4.67,0,53.12,10,0
4.29,4.8,45.97,10,0
7.32,0,112.24,10,0
4.97,0.6,58.84,10,0
4.52,0,50.26,10,0
5.13,0,62.06,10,0
4.44,4.5,48.83,10,0
5.37,0,66.89,10,0
4.29,0.2,45.97,10,0
4.9,2.4,57.41,10,0
3.92,3,39.54,10,0
4.67,62,53.12,10,0
9.66,125.2,178.01,10,0
14.2,90.8,338.7,10,0
27.13,15.7,996.18,10,0
16.99,52.5,456.5,10,0
22.58,44.2,733.34,10,0
16.9,32,452.72,10,0
16.99,2.6,456.5,10,0
15.13,3,376.19,10,0
13.95,0,328.68,10,0
12.2,108.8,262.84,10,0
24.76,99.2,855.21,10,0
30.5,99.2,1210.6,10,0
19.98,0,598.32,10,0
13.7,0,318.94,10,0
8.93,0,156.14,10,0
7.57,0,118.57,10,0
6.93,26.3,102.49,10,0
7.32,0,112.24,10,0
6.93,0,102.49,10,0
8.37,0,140.18,10,0
7.81,0,124.9,10,0
7.17,1,108.34,10,0
6.45,0.6,90.96,10,0
5.91,0,78.5,10,0
7.09,6.6,106.39,10,0
10.47,39.8,203.75,10,0
14.37,0,345.38,10,0
10.63,0,209.09,10,0
8.85,39.8,153.86,10,0
14.96,62.8,369.21,10,0
40.41,129.8,1934.74,10,0
34.71,8.2,1501.41,10,0
24.76,1.6,855.21,10,0
15.8,4.2,404.56,10,0
14.79,0,362.23,10,0
13.37,0,306.14,10,0
9.09,0,161,10,0
7.89,0.8,127.01,10,0
7.32,11,112.24,10,0
7.32,0.4,112.24,10,0
7.4,0,114.35,10,0
6.93,0,102.49,10,0
6.45,0,90.96,10,0
6.61,0,94.69,10,0
6.07,0,82.06,10,0
5.83,25.4,76.72,10,0
5.67,0,73.33,10,0
5.13,0,62.06,10,0
5.21,0,63.67,10,0
4.6,0.8,51.69,10,0
4.36,16.2,47.4,10,0
5.75,7.8,74.94,10,0
6.77,2,98.59,10,0
6.38,0,89.18,10,0
6.15,8,83.84,10,0
5.83,0,76.72,10,0
5.83,0,76.72,10,0
5.83,0,76.72,10,0
5.75,0,74.94,10,0
5.75,0,74.94,10,0
5.29,0,65.28,10,0
4.52,0,50.26,10,0
4.13,0,43.29,10,0
4.2,0,44.54,10,0
4.06,0,42.04,10,0
3.99,0,40.79,10,0
4.06,0,42.04,10,0
4.29,0,45.97,10,0
4.13,0,43.29,10,0
4.29,0,45.97,10,0
4.06,114.4,42.04,10,0
20.59,7,628.7,10,0
13.78,0,322.14,10,0
11.62,1,242.54,10,0
8.04,0,131.23,10,0
9.17,0,163.43,10,0
8.04,0,131.23,10,0
7.01,0,104.44,10,0
6.07,0,82.06,10,0
5.52,0.1,70.11,10,0
5.6,0,71.72,10,0
5.05,0,60.45,10,0
4.9,0,57.41,10,0
4.67,0,53.12,10,0
4.97,0,58.84,10,0
5.52,0,70.11,10,0
4.9,0,57.41,10,0
4.6,0,51.69,10,0
4.82,0,55.98,10,0
4.75,0,54.55,10,0
4.52,0,50.26,10,0
4.2,0,44.54,10,0
4.06,0,42.04,10,0
3.92,0,39.54,10,0
3.92,0,39.54,10,0
4.06,0,42.04,10,0
3.92,0,39.54,10,0
3.84,0,38.29,10,0
3.92,0,39.54,10,0
3.92,0,39.54,10,0
3.99,0,40.79,10,0
3.84,0,38.29,10,0
3.69,0,35.79,10,0
3.84,0,38.29,10,0
3.84,0,38.29,10,0
3.76,0,37.04,10,0
3.92,0,39.54,10,0
3.84,0,38.29,10,0
3.92,0,39.54,10,0
3.92,0,39.54,10,0
3.84,0,38.29,10,0
3.76,0,37.04,10,0
3.76,0,37.04,10,0
3.76,0,37.04,10,0
3.76,0,37.04,10,0
3.84,0,38.29,10,0
3.69,0,35.79,10,0
3.38,28.5,30.98,10,0
3.24,0,28.86,10,0
3.24,0,28.86,10,0
3.24,0,28.86,10,0
3.1,0,26.74,10,0
3.31,0,29.92,10,0
3.24,4,28.86,10,0
3.1,0,26.74,10,0
3.02,0,25.68,10,0
2.95,9.2,24.62,10,0
2.87,0,23.56,10,0
2.95,0,24.62,10,0
2.87,0,23.56,10,0
2.87,0,23.56,10,0
2.79,0,22.5,10,0
0.57,0,1.609,10,0
0.61,0,1.775,10,0
0.51,0,1.321,10,0
0.58,0,1.618,10,0
0.44,0,1.023,10,0
0.55,0,1.515,10,0
0.7,0,2.263,10,0
0.6,0,1.737,10,0
0.62,0,1.831,10,0
0.57,0,1.591,10,0
0.56,0,1.545,10,0
0.64,0,1.944,10,0
0.61,0,1.765,10,0
0.69,0,2.187,10,0
0.64,0,1.944,10,0
0.42,0,0.94,10,0
0.72,0,2.347,10,0
0.34,0,0.658,10,0
0.32,0,0.605,10,0
0.47,0,1.172,10,0
